cable_id,date,origin,destination,classification,subject,priority,word_count
CABLE-001,2026-04-01,AMEMBASSY LONDON,SECSTATE WASHDC,UNCLASSIFIED,UK-US Trade Coordination,ROUTINE,1240
CABLE-002,2026-04-02,AMEMBASSY PARIS,SECSTATE WASHDC,UNCLASSIFIED,Franco-American Security Dialogue,ROUTINE,980
CABLE-003,2026-04-03,AMEMBASSY BERLIN,SECSTATE WASHDC,UNCLASSIFIED,NATO Eastern Flank Assessment,PRIORITY,2100
CABLE-004,2026-04-04,AMEMBASSY TOKYO,SECSTATE WASHDC,UNCLASSIFIED,Indo-Pacific Economic Framework Update,ROUTINE,1560
CABLE-005,2026-04-05,AMEMBASSY OTTAWA,SECSTATE WASHDC,UNCLASSIFIED,NORAD Modernization Briefing,PRIORITY,870
CABLE-006,2026-04-07,AMEMBASSY ROME,SECSTATE WASHDC,UNCLASSIFIED,G7 Host Logistics Memo,ROUTINE,640
CABLE-007,2026-04-08,AMEMBASSY SEOUL,SECSTATE WASHDC,UNCLASSIFIED,DPRK Activity Summary,PRIORITY,3200
CABLE-008,2026-04-09,AMEMBASSY CANBERRA,SECSTATE WASHDC,UNCLASSIFIED,AUKUS Submarine Timeline,ROUTINE,1180
CABLE-009,2026-04-10,AMEMBASSY BRASILIA,SECSTATE WASHDC,UNCLASSIFIED,Amazon Basin Policy Coordination,ROUTINE,740
CABLE-010,2026-04-11,AMEMBASSY NAIROBI,SECSTATE WASHDC,UNCLASSIFIED,AU Peace Mission Update,ROUTINE,920
